Trial Phase,Trial Number,Time,Position X,Position Y,Position Z
21,1,3.862032,-1.024652,-0.9099806,0.3377071
21,1,3.965687,-1.050964,-0.8927603,0.3306588
21,1,4.073209,-0.8858283,-0.6672288,0.2519366
21,1,4.173242,-0.3191184,-0.6604346,0.187807
21,1,4.273299,0.1874985,-0.7257643,0.2171897
21,1,4.373302,0.3791543,-0.7257316,0.23623
21,1,4.485632,0.2801208,-0.7950628,0.3232693
21,1,4.595423,-0.0464769,-0.7065673,0.4603108
21,1,4.706614,-0.2455277,-0.7861962,0.5642364
21,1,4.817729,-0.02998298,-0.6857205,0.5845109
21,1,4.917757,0.03307587,-0.6763302,0.5817391
21,1,5.028688,0.04259989,-0.7437545,0.5974348
21,1,5.140185,0.08894035,-0.7852706,0.6047402
21,1,5.252007,0.2839782,-0.7010655,0.7209417
21,1,5.361981,0.6453135,-0.7636151,0.8887723
21,1,5.461998,0.7620031,-0.7635109,0.9216349
21,1,5.562051,0.610469,-0.7631776,0.9021439
21,1,5.662128,0.08844075,-0.7626953,0.9867618
21,1,5.773159,-0.3100291,-0.7270298,1.019998
21,1,5.884173,-0.2353027,-0.8082511,1.002657
21,1,5.984282,-0.06982484,-0.8072687,0.8927435
21,1,6.095303,-0.02997977,-0.7076505,0.7629825
21,1,6.206558,-0.0300335,-0.7867031,0.7728973
21,1,6.317473,-0.03003359,-0.6880336,0.7687301
21,1,6.428698,-0.03003353,-0.7673639,0.7677504
21,1,6.5401,-0.02997893,-0.8450696,0.769199
21,1,6.650979,-0.0300335,-0.74674,0.7704908
21,1,6.76197,-0.02997881,-0.8281717,0.7713056
21,1,6.873041,-0.02997881,-0.7280937,0.7713056
21,1,6.984135,-0.02997866,-0.8086011,0.7714639
21,1,7.084164,-0.02997866,-0.8083335,0.7714638
21,1,7.195165,-0.02997845,-0.7088993,0.7716227
21,1,7.306369,-0.03003335,-0.7884159,0.770331
21,1,7.41764,-0.03003335,-0.6865265,0.770331
21,1,7.52848,-0.03003335,-0.7693298,0.770331
21,1,7.628519,-0.03003335,-0.7689808,0.7677482
21,1,7.728802,-0.03003335,-0.7664244,0.766457
21,1,7.839684,-0.03003329,-0.6680487,0.7666168
21,1,7.93982,-0.03003341,-0.666823,0.764035
21,1,8.050727,-0.03003341,-0.7490222,0.7638752
21,1,8.150831,-0.03003341,-0.7480767,0.7638752
21,1,8.251212,-0.03003341,-0.7446344,0.7638752
21,1,8.361916,-0.02997845,-0.8286602,0.7638752
